epoch,layer,mean_angle_deg,max_angle_deg
1,bert.encoder.layer.0.attention.self.query,5.7091169357299805,85.61812591552734
1,bert.encoder.layer.0.attention.self.key,9.024356842041016,88.0647964477539
1,bert.encoder.layer.0.attention.self.value,11.408045768737793,88.4688949584961
1,bert.encoder.layer.1.attention.self.query,2.603062152862549,8.018341064453125
1,bert.encoder.layer.1.attention.self.key,5.218294143676758,78.52548217773438
1,bert.encoder.layer.1.attention.self.value,4.068644046783447,10.9503173828125
1,bert.encoder.layer.2.attention.self.query,4.957065105438232,84.94366455078125
1,bert.encoder.layer.2.attention.self.key,5.336606979370117,83.86639404296875
1,bert.encoder.layer.2.attention.self.value,9.188468933105469,86.09424591064453
1,bert.encoder.layer.3.attention.self.query,5.481727600097656,88.02790069580078
1,bert.encoder.layer.3.attention.self.key,8.300793647766113,88.97825622558594
1,bert.encoder.layer.3.attention.self.value,11.352823257446289,88.7265853881836
1,bert.encoder.layer.4.attention.self.query,8.723651885986328,89.78950500488281
1,bert.encoder.layer.4.attention.self.key,8.816778182983398,89.1043472290039
1,bert.encoder.layer.4.attention.self.value,11.03278923034668,89.63092803955078
1,bert.encoder.layer.5.attention.self.query,8.856954574584961,88.3230209350586
1,bert.encoder.layer.5.attention.self.key,6.309464454650879,86.69031524658203
1,bert.encoder.layer.5.attention.self.value,11.681772232055664,89.97181701660156
1,bert.encoder.layer.6.attention.self.query,8.51325798034668,89.56078338623047
1,bert.encoder.layer.6.attention.self.key,8.550573348999023,89.95046997070312
1,bert.encoder.layer.6.attention.self.value,7.556889057159424,85.30964660644531
1,bert.encoder.layer.7.attention.self.query,5.468583106994629,87.38993835449219
1,bert.encoder.layer.7.attention.self.key,7.993417739868164,88.74147033691406
1,bert.encoder.layer.7.attention.self.value,17.17324447631836,89.6202621459961
1,bert.encoder.layer.8.attention.self.query,11.132734298706055,89.8239517211914
1,bert.encoder.layer.8.attention.self.key,7.957136631011963,89.93547821044922
1,bert.encoder.layer.8.attention.self.value,14.504332542419434,89.47052001953125
1,bert.encoder.layer.9.attention.self.query,12.665809631347656,89.76298522949219
1,bert.encoder.layer.9.attention.self.key,5.100953102111816,77.60159301757812
1,bert.encoder.layer.9.attention.self.value,27.0299015045166,89.94357299804688
1,bert.encoder.layer.10.attention.self.query,11.21969985961914,89.79315948486328
1,bert.encoder.layer.10.attention.self.key,21.239152908325195,89.888427734375
