layer,mean_angle_deg,weighted_mean_deg,max_angle_deg,min_angle_deg
bert.encoder.layer.0.attention.self.query,4.946270942687988,4.335248947143555,25.140106201171875,0.975383460521698
bert.encoder.layer.0.attention.self.key,6.970034122467041,5.901156902313232,32.61760330200195,0.7433580756187439
bert.encoder.layer.0.attention.self.value,11.615945816040039,10.951181411743164,84.18482971191406,3.8170571327209473
bert.encoder.layer.1.attention.self.query,4.141702175140381,3.7142515182495117,14.21940803527832,0.936281681060791
bert.encoder.layer.1.attention.self.key,6.498505592346191,5.421712875366211,64.56967163085938,0.7249675989151001
bert.encoder.layer.1.attention.self.value,6.8272857666015625,6.351884841918945,37.765174865722656,1.9877082109451294
bert.encoder.layer.2.attention.self.query,3.8582987785339355,2.942307710647583,16.665607452392578,0.6852844953536987
bert.encoder.layer.2.attention.self.key,5.451500415802002,3.9573559761047363,49.95771789550781,0.7370134592056274
bert.encoder.layer.2.attention.self.value,8.003631591796875,7.433582782745361,44.632652282714844,1.7693461179733276
bert.encoder.layer.3.attention.self.query,4.590731620788574,4.139737606048584,19.13591194152832,1.2244527339935303
bert.encoder.layer.3.attention.self.key,5.365147590637207,4.506433010101318,24.36076545715332,0.7962302565574646
bert.encoder.layer.3.attention.self.value,6.225334167480469,5.843178749084473,28.812503814697266,1.827349066734314
bert.encoder.layer.4.attention.self.query,6.119187355041504,5.556849479675293,32.88115310668945,1.3049131631851196
bert.encoder.layer.4.attention.self.key,5.714649677276611,5.030282497406006,23.997787475585938,0.9043890833854675
bert.encoder.layer.4.attention.self.value,7.553028583526611,7.079469203948975,66.25112915039062,2.623534917831421
bert.encoder.layer.5.attention.self.query,6.2050981521606445,5.609407424926758,24.252426147460938,1.6354223489761353
bert.encoder.layer.5.attention.self.key,6.039109706878662,5.097737789154053,24.724899291992188,0.9343988299369812
bert.encoder.layer.5.attention.self.value,8.750761032104492,8.150566101074219,81.27801513671875,2.7228267192840576
bert.encoder.layer.6.attention.self.query,5.328054904937744,4.902227401733398,20.774822235107422,1.723968744277954
bert.encoder.layer.6.attention.self.key,4.920379161834717,4.3178606033325195,17.4404296875,1.0572141408920288
bert.encoder.layer.6.attention.self.value,8.25855827331543,7.882550239562988,30.394899368286133,3.0974349975585938
bert.encoder.layer.7.attention.self.query,5.63612174987793,4.969069957733154,38.26331329345703,1.37700355052948
bert.encoder.layer.7.attention.self.key,4.679502487182617,4.036935806274414,19.363554000854492,1.05034339427948
bert.encoder.layer.7.attention.self.value,12.416864395141602,11.741235733032227,69.03108215332031,3.8093032836914062
bert.encoder.layer.8.attention.self.query,6.67153263092041,5.9714765548706055,60.86643981933594,1.366160273551941
bert.encoder.layer.8.attention.self.key,5.072807788848877,4.502522945404053,22.901708602905273,1.1080049276351929
bert.encoder.layer.8.attention.self.value,8.194975852966309,7.780848503112793,47.08930206298828,2.1320316791534424
bert.encoder.layer.9.attention.self.query,6.981703281402588,6.205635070800781,75.98408508300781,1.4207886457443237
bert.encoder.layer.9.attention.self.key,5.399721145629883,4.794666767120361,36.90555953979492,1.075018048286438
bert.encoder.layer.9.attention.self.value,11.195547103881836,10.634099960327148,62.502044677734375,2.9018476009368896
bert.encoder.layer.10.attention.self.query,7.780029296875,6.784019470214844,78.23754119873047,1.0290758609771729
bert.encoder.layer.10.attention.self.key,8.369425773620605,7.423826217651367,78.98098754882812,1.0662450790405273
bert.encoder.layer.10.attention.self.value,12.513513565063477,11.623414039611816,87.4161148071289,2.092280149459839
bert.encoder.layer.11.attention.self.query,5.806509971618652,4.788459777832031,65.04938507080078,0.6605679988861084
bert.encoder.layer.11.attention.self.key,6.355715274810791,5.550172805786133,63.878318786621094,0.9729731678962708
bert.encoder.layer.11.attention.self.value,10.657905578613281,9.88453483581543,82.32250213623047,2.0349974632263184
