epoch,layer,mean_angle_deg,weighted_mean_deg,max_angle_deg
1,bert.encoder.layer.0.attention.self.query,3.049438953399658,2.708026885986328,11.984526634216309
1,bert.encoder.layer.0.attention.self.key,5.026057720184326,4.232659816741943,32.29159927368164
1,bert.encoder.layer.0.attention.self.value,7.882471084594727,7.4496002197265625,54.554325103759766
1,bert.encoder.layer.1.attention.self.query,2.790983200073242,2.5105366706848145,8.737363815307617
1,bert.encoder.layer.1.attention.self.key,4.044009685516357,3.3952207565307617,37.9984130859375
1,bert.encoder.layer.1.attention.self.value,4.5103278160095215,4.212254524230957,22.241086959838867
1,bert.encoder.layer.2.attention.self.query,2.5255422592163086,1.9380760192871094,10.203862190246582
1,bert.encoder.layer.2.attention.self.key,3.2201895713806152,2.3923850059509277,21.480064392089844
1,bert.encoder.layer.2.attention.self.value,5.16795015335083,4.828347206115723,22.05890655517578
1,bert.encoder.layer.3.attention.self.query,2.883071184158325,2.6253085136413574,8.497406959533691
1,bert.encoder.layer.3.attention.self.key,3.318573474884033,2.8207459449768066,13.557594299316406
1,bert.encoder.layer.3.attention.self.value,4.096419811248779,3.8545594215393066,16.82991600036621
1,bert.encoder.layer.4.attention.self.query,4.005669116973877,3.6534583568573,19.891971588134766
1,bert.encoder.layer.4.attention.self.key,3.6774301528930664,3.2626473903656006,12.454824447631836
1,bert.encoder.layer.4.attention.self.value,4.172986030578613,3.972975492477417,17.814590454101562
1,bert.encoder.layer.5.attention.self.query,4.107781887054443,3.7375025749206543,17.45808219909668
1,bert.encoder.layer.5.attention.self.key,3.882462501525879,3.3148679733276367,11.498038291931152
1,bert.encoder.layer.5.attention.self.value,5.231464862823486,4.922748565673828,36.13295364379883
1,bert.encoder.layer.6.attention.self.query,3.434138059616089,3.1796975135803223,11.056829452514648
1,bert.encoder.layer.6.attention.self.key,3.962768077850342,3.405477523803711,26.503292083740234
1,bert.encoder.layer.6.attention.self.value,5.639246940612793,5.375030517578125,28.508920669555664
1,bert.encoder.layer.7.attention.self.query,3.1895346641540527,2.8764560222625732,13.366005897521973
1,bert.encoder.layer.7.attention.self.key,2.9080755710601807,2.5297012329101562,8.830374717712402
1,bert.encoder.layer.7.attention.self.value,8.16618537902832,7.752262115478516,45.300682067871094
1,bert.encoder.layer.8.attention.self.query,3.758763313293457,3.4284145832061768,20.634605407714844
1,bert.encoder.layer.8.attention.self.key,3.376554012298584,3.0042519569396973,16.770212173461914
1,bert.encoder.layer.8.attention.self.value,5.513878345489502,5.241155624389648,35.22154235839844
1,bert.encoder.layer.9.attention.self.query,4.748543739318848,4.248116970062256,47.778465270996094
1,bert.encoder.layer.9.attention.self.key,3.372421979904175,3.0139241218566895,18.243133544921875
1,bert.encoder.layer.9.attention.self.value,7.746157169342041,7.376450061798096,41.593170166015625
1,bert.encoder.layer.10.attention.self.query,5.4892354011535645,4.803089618682861,61.45125961303711
1,bert.encoder.layer.10.attention.self.key,4.6541547775268555,4.183363437652588,31.054393768310547
1,bert.encoder.layer.10.attention.self.value,8.382610321044922,7.897029876708984,81.66008758544922
1,bert.encoder.layer.11.attention.self.query,3.8515844345092773,3.1892776489257812,40.85813522338867
1,bert.encoder.layer.11.attention.self.key,3.287113904953003,2.9314911365509033,16.486295700073242
1,bert.encoder.layer.11.attention.self.value,7.144028186798096,6.703015327453613,82.18169403076172
2,bert.encoder.layer.0.attention.self.query,3.942338705062866,3.4859390258789062,17.420886993408203
2,bert.encoder.layer.0.attention.self.key,6.202695369720459,5.233151912689209,33.124794006347656
2,bert.encoder.layer.0.attention.self.value,8.978850364685059,8.539254188537598,37.577945709228516
2,bert.encoder.layer.1.attention.self.query,3.5039165019989014,3.1503968238830566,11.617015838623047
2,bert.encoder.layer.1.attention.self.key,4.995869159698486,4.221426486968994,38.590579986572266
2,bert.encoder.layer.1.attention.self.value,5.882621765136719,5.479748725891113,27.931257247924805
2,bert.encoder.layer.2.attention.self.query,3.1553449630737305,2.4321341514587402,11.972597122192383
2,bert.encoder.layer.2.attention.self.key,4.163468837738037,3.0887205600738525,29.216516494750977
2,bert.encoder.layer.2.attention.self.value,6.535405158996582,6.104299068450928,31.662445068359375
2,bert.encoder.layer.3.attention.self.query,3.625253200531006,3.3096680641174316,9.889823913574219
2,bert.encoder.layer.3.attention.self.key,4.352320671081543,3.687069892883301,17.05550765991211
2,bert.encoder.layer.3.attention.self.value,5.323239803314209,5.004411220550537,19.976823806762695
2,bert.encoder.layer.4.attention.self.query,5.083931922912598,4.63874626159668,19.1251277923584
2,bert.encoder.layer.4.attention.self.key,4.733976364135742,4.187956809997559,17.570947647094727
2,bert.encoder.layer.4.attention.self.value,7.0946574211120605,6.613149642944336,76.8055648803711
2,bert.encoder.layer.5.attention.self.query,5.465197563171387,4.940474510192871,24.70836067199707
2,bert.encoder.layer.5.attention.self.key,5.033031463623047,4.275869369506836,16.738924026489258
2,bert.encoder.layer.5.attention.self.value,7.394606590270996,6.900640487670898,65.8448715209961
2,bert.encoder.layer.6.attention.self.query,4.4455790519714355,4.1117658615112305,12.579463958740234
2,bert.encoder.layer.6.attention.self.key,4.563154697418213,3.9691638946533203,21.456634521484375
2,bert.encoder.layer.6.attention.self.value,7.057873725891113,6.741924285888672,21.492521286010742
2,bert.encoder.layer.7.attention.self.query,4.425644874572754,3.949737548828125,23.475914001464844
2,bert.encoder.layer.7.attention.self.key,3.8910670280456543,3.3660969734191895,17.21101951599121
2,bert.encoder.layer.7.attention.self.value,10.827219009399414,10.245145797729492,60.88806915283203
2,bert.encoder.layer.8.attention.self.query,5.493490219116211,4.95280647277832,41.20417404174805
2,bert.encoder.layer.8.attention.self.key,4.405721664428711,3.9090969562530518,21.998876571655273
2,bert.encoder.layer.8.attention.self.value,7.337125778198242,6.952114105224609,49.322174072265625
2,bert.encoder.layer.9.attention.self.query,6.024834156036377,5.378594398498535,65.09294128417969
2,bert.encoder.layer.9.attention.self.key,4.382497310638428,3.915335178375244,28.27506446838379
2,bert.encoder.layer.9.attention.self.value,9.86275577545166,9.369556427001953,57.4769287109375
2,bert.encoder.layer.10.attention.self.query,7.105031490325928,6.200730323791504,77.80683898925781
2,bert.encoder.layer.10.attention.self.key,6.741453170776367,6.01220703125,55.91011428833008
2,bert.encoder.layer.10.attention.self.value,10.487526893615723,9.812255859375,79.53092956542969
2,bert.encoder.layer.11.attention.self.query,4.976415634155273,4.114328384399414,55.24421691894531
2,bert.encoder.layer.11.attention.self.key,5.362575531005859,4.701464653015137,47.10040283203125
2,bert.encoder.layer.11.attention.self.value,8.597127914428711,8.026633262634277,84.69522094726562
3,bert.encoder.layer.0.attention.self.query,4.561583995819092,4.0135273933410645,22.050413131713867
3,bert.encoder.layer.0.attention.self.key,6.84286642074585,5.777879238128662,31.37096405029297
3,bert.encoder.layer.0.attention.self.value,11.264691352844238,10.623700141906738,87.21188354492188
3,bert.encoder.layer.1.attention.self.query,3.970917224884033,3.559781074523926,14.067978858947754
3,bert.encoder.layer.1.attention.self.key,5.779242992401123,4.864424705505371,49.52979278564453
3,bert.encoder.layer.1.attention.self.value,6.456209659576416,6.01762056350708,31.580951690673828
3,bert.encoder.layer.2.attention.self.query,3.6750762462615967,2.8025012016296387,15.994759559631348
3,bert.encoder.layer.2.attention.self.key,4.924517631530762,3.6078693866729736,41.0462646484375
3,bert.encoder.layer.2.attention.self.value,7.504301071166992,6.983419418334961,40.513675689697266
3,bert.encoder.layer.3.attention.self.query,4.176600456237793,3.7923316955566406,14.208142280578613
3,bert.encoder.layer.3.attention.self.key,4.898979187011719,4.141661643981934,19.506792068481445
3,bert.encoder.layer.3.attention.self.value,5.7993903160095215,5.45909309387207,23.461917877197266
3,bert.encoder.layer.4.attention.self.query,5.590775489807129,5.099545955657959,23.688053131103516
3,bert.encoder.layer.4.attention.self.key,5.427489280700684,4.7787370681762695,23.029680252075195
3,bert.encoder.layer.4.attention.self.value,7.1280598640441895,6.6887617111206055,59.53483963012695
3,bert.encoder.layer.5.attention.self.query,5.955844879150391,5.388837814331055,23.077409744262695
3,bert.encoder.layer.5.attention.self.key,5.733393669128418,4.843954086303711,23.583322525024414
3,bert.encoder.layer.5.attention.self.value,8.556268692016602,7.959673881530762,83.03520965576172
3,bert.encoder.layer.6.attention.self.query,5.050708770751953,4.656524181365967,17.442480087280273
3,bert.encoder.layer.6.attention.self.key,4.789140224456787,4.194821834564209,17.867013931274414
3,bert.encoder.layer.6.attention.self.value,7.938295841217041,7.576030731201172,26.548500061035156
3,bert.encoder.layer.7.attention.self.query,5.145263671875,4.557465553283691,31.95269012451172
3,bert.encoder.layer.7.attention.self.key,4.407373428344727,3.8062515258789062,19.663583755493164
3,bert.encoder.layer.7.attention.self.value,11.980094909667969,11.328645706176758,69.2625961303711
3,bert.encoder.layer.8.attention.self.query,6.389182090759277,5.724493980407715,55.75437927246094
3,bert.encoder.layer.8.attention.self.key,4.843835830688477,4.3038249015808105,20.55013084411621
3,bert.encoder.layer.8.attention.self.value,7.653931617736816,7.279785633087158,43.39399337768555
3,bert.encoder.layer.9.attention.self.query,6.594917297363281,5.8751540184021,72.24332427978516
3,bert.encoder.layer.9.attention.self.key,5.0242228507995605,4.472912311553955,32.404029846191406
3,bert.encoder.layer.9.attention.self.value,10.78485107421875,10.253066062927246,60.554718017578125
3,bert.encoder.layer.10.attention.self.query,7.558867931365967,6.599750518798828,77.59276580810547
3,bert.encoder.layer.10.attention.self.key,8.0011568069458,7.102941513061523,74.33816528320312
3,bert.encoder.layer.10.attention.self.value,12.008092880249023,11.190499305725098,88.53496551513672
3,bert.encoder.layer.11.attention.self.query,5.654038429260254,4.660706996917725,63.616920471191406
3,bert.encoder.layer.11.attention.self.key,6.220132827758789,5.4283928871154785,62.21531295776367
3,bert.encoder.layer.11.attention.self.value,10.0020751953125,9.30749797821045,82.6515884399414
4,bert.encoder.layer.0.attention.self.query,4.873873710632324,4.275643348693848,24.128923416137695
4,bert.encoder.layer.0.attention.self.key,6.910560607910156,5.853065013885498,31.484128952026367
4,bert.encoder.layer.0.attention.self.value,11.483854293823242,10.834579467773438,81.54153442382812
